stop_id,stop_name,stop_type,stop_status,stop_description,longitude,latitude
45,Brecon 2,Existing IRT Stop,Active,Red Totem,18.499626486139128,-33.56069850140281
46,Corsair 1,New IRT Stop with Temporary Pole,Active,Temp Pole,18.504153995336118,-33.879990183005106
47,Corsair 2,New IRT Stop with Temporary Pole,Active,Temp Pole,18.504728916640868,-33.879945435794916
48,Civic Centre,IRT Station,Active,Station,18.42957585955238,-33.9205961106839
49,Bakoven,Existing IRT Stop,Active,Totem,18.373556919450007,-33.96318692874716
50,Table View,IRT Station,Active,Station,18.48923297823181,-33.82482883019118
51,Atlantis Station,IRT Station,Active,Station,18.491424866774416,-33.563363357892044
52,Thibault Square,IRT Station,Active,Station,18.424257834103155,-33.91892632467271
53,Stadium,Existing IRT Stop,Active,Temp Pole,18.411968880944478,-33.90795263633663
54,Melkbosstrand,IRT Station,Active,Station,18.442709229505418,-33.73046331133489
55,Discovery,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.528363591557063,-33.79904133485711
56,Blaauwberg Hospital 1,Existing IRT Stop,Active,Cantilever Shelter,18.48478631665288,-33.80315441975873
57,Blaauwberg Hospital 4,Existing IRT Stop,Active,Cantilever Shelter,18.48550549776553,-33.803213265786894
58,Montague Gardens,IRT Station,Active,Station,18.51593989202501,-33.85548754218252
59,Mitchells Plain,IRT Station,Active,Station,18.620494806897373,-34.04779847384017
60,Adderley,IRT Station,Active,Station,18.42496750272852,-33.92042466117719
61,Wood,IRT Station,Active,Station,18.507073520347696,-33.82956004789009
62,Omuramba,IRT Station,Active,Station,18.51292155174305,-33.86845952719692
63,Sanddrift,IRT Station,Active,Station,18.510226606431182,-33.884173949433716
64,Century City,IRT Station,Active,Station,18.50642673268206,-33.891437254791185
65,Riebeeck 1,Existing IRT Stop,Active,Full Shelter,18.420763045333015,-33.91826836218264
66,Riebeeck 2,Existing IRT Stop,Active,Totem,18.42198161621249,-33.919009485327464
67,Alfred 1,Existing IRT Stop,Active,Totem,18.418230137693623,-33.91534810386399
68,Alfred 2,Existing IRT Stop,Active,Totem,18.418679296207404,-33.91596684861909
69,Gallows Hill 1,Existing IRT Stop,Active,Cantilever Shelter,18.416070306681096,-33.91198767291759
70,Gallows Hill 2,Existing IRT Stop,Active,Full Shelter,18.416316996906943,-33.91200313409632
71,Upper Portswood 1,Existing IRT Stop,Active,Totem,18.413067519703024,-33.909216064894466
72,Upper Portswood 2,Existing IRT Stop,Active,Full Shelter,18.413235389520487,-33.90915514798391
73,Civic Centre 1,IRT Station,Active,Station,18.429045854401117,-33.91996994476848
74,Civic Centre 2,IRT Station,Active,Station,18.42872246054721,-33.92020848537583
75,Civic Centre 3,IRT Station,Active,Station,18.4295219611668,-33.92031284588716
76,Civic Centre 4,IRT Station,Active,Station,18.429198568482544,-33.920566292665214
77,Civic Centre 5,IRT Station,Active,Station,18.429728574133776,-33.920476841053606
78,Civic Centre 6,IRT Station,Active,Station,18.42950399531559,-33.92078992321176
79,Civic Centre 7,IRT Station,Active,Station,18.42994416895527,-33.9206408359788
80,Civic Centre 8,IRT Station,Active,Station,18.429674674541875,-33.92087937430904
81,Civic Centre 11,IRT Station,Active,Station,18.430438242885987,-33.92108809532609
82,Civic Centre 12,IRT Station,Active,Station,18.430195698085267,-33.92131172286371
83,Civic Centre 9,IRT Station,Active,Station,18.430069934222058,-33.92072283396293
84,Wigtown 1,Existing IRT Stop,Active,Full Shelter,18.406974248328513,-33.90755749667169
85,Wigtown 2,Existing IRT Stop,Active,Full Shelter,18.406453225498478,-33.907505309429176
86,Hill 1,Existing IRT Stop,Active,Full Shelter,18.40332708838718,-33.90783334938511
87,Hill 2,Existing IRT Stop,Active,Full Shelter,18.40254555326176,-33.907788617390345
88,Ellerton 1,Existing IRT Stop,Active,Full Shelter,18.3982785564758,-33.908161388097646
89,Ellerton 2,Existing IRT Stop,Active,Full Shelter,18.398036010409353,-33.90810174536555
90,Camberwell 1,Existing IRT Stop,Active,Totem,18.39580818923791,-33.909212595244696
91,Camberwell 2,Existing IRT Stop,Active,Totem,18.396401076860815,-33.90884728294692
92,Sea Point High 1,Existing IRT Stop,Active,Totem,18.394165461345423,-33.91068128341612
93,Sea Point High 2,Existing IRT Stop,Active,Cantilever Shelter,18.393751763288773,-33.91095536791179
94,Woodstock 1,IRT Station,Active,Station,18.446589952125162,-33.92292182773106
95,Woodstock 2,IRT Station,Active,Station,18.446320456606138,-33.92299636986049
96,Firmount 1,Existing IRT Stop,Active,Full Shelter,18.391918483079543,-33.91322346268457
97,Firmount 2,Existing IRT Stop,Active,Totem,18.392477492403152,-33.912466539712014
98,Sea Point 1,Existing IRT Stop,Active,Full Shelter,18.390049987812333,-33.915407741592055
